,mmu00010,mmu00030,mmu00051,mmu00240,mmu00250,mmu00410,mmu00430,mmu00511,mmu00513,mmu00520,mmu00531,mmu00600,mmu00603,mmu00604,mmu00650,mmu01100,mmu01200,mmu01230,mmu01232,mmu01240,mmu01521,mmu04010,mmu04014,mmu04015,mmu04020,mmu04022,mmu04024,mmu04060,mmu04066,mmu04070,mmu04072,mmu04080,mmu04114,mmu04142,mmu04144,mmu04145,mmu04148,mmu04151,mmu04210,mmu04218,mmu04270,mmu04310,mmu04350,mmu04371,mmu04380,mmu04390,mmu04510,mmu04512,mmu04540,mmu04550,mmu04610,mmu04611,mmu04621,mmu04625,mmu04630,mmu04710,mmu04714,mmu04720,mmu04721,mmu04723,mmu04724,mmu04725,mmu04726,mmu04727,mmu04728,mmu04730,mmu04750,mmu04810,mmu04814,mmu04912,mmu04915,mmu04918,mmu04919,mmu04921,mmu04922,mmu04924,mmu04925,mmu04926,mmu04927,mmu04928,mmu04929,mmu04934,mmu04935,mmu04940,mmu04970,mmu04971,mmu04972,mmu05010,mmu05012,mmu05017,mmu05020,mmu05022,mmu05032,mmu05033,mmu05034,mmu05152,mmu05163,mmu05165,mmu05167,mmu05170,mmu05200,mmu05202,mmu05205,mmu05206,mmu05214,mmu05215,mmu05217,mmu05218,mmu05230,mmu05231,mmu05323,mmu05418
cell_541,0.75,0.75,0.75,0.6875,-0.5,-0.5,-0.5,-0.8125,-0.8125,-0.8125,-0.8125,-0.8125,-0.8125,-0.8125,-0.5,0.19435737,0.75,0.75,0.6875,0.6875,0.125,0.3548387,0.3548387,-0.033333335,0.16666667,-0.25,-0.55241936,0.4375,0.67741936,-0.25,0.125,-0.7502463,-0.25,-0.8125,0.125,-0.9375,-0.375,0.06666667,-0.25,-0.25,-0.516129,-1.0,0.4375,-0.7105263,-0.25,0.4375,0.06666667,-0.4375,-0.06451613,0.4375,-0.4375,-0.25,-0.25,-0.25,0.06451613,1.0,-0.625,-0.25,0.3125,-0.16666667,-0.25,-0.25,-0.25,-0.09677419,-0.25,-0.09677419,-0.25,0.125,-0.75,-0.25,-0.25,-0.41935483,0.4375,-0.25,-0.25,-0.25,-0.25,-0.75,-0.25,2.220446e-16,-0.25,-0.09677419,-0.25,-0.5,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0.3125,0.3125,0.0625,-0.9375,-0.06451613,-0.4375,-0.25,-0.25,0.29032257,0.5625,-0.3548387,0.125,0.125,0.125,0.4375,0.125,0.125,0.125,0.5625,0.4375
cell_481,-0.875,-0.875,-0.875,0.6875,-0.375,-0.375,-0.375,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.375,-0.3393608,-0.875,-0.875,0.6875,0.6875,0.875,0.7741935,0.7741935,0.8,0.7100629,-0.125,-0.16568916,0.5,-0.25403225,-0.125,0.875,-0.014846743,-0.125,-0.6875,0.875,-0.9375,-0.25,0.6141243,-0.125,-0.125,-0.47653958,-1.0,0.5,-0.6333333,-0.125,0.5,0.6141243,-0.3125,0.77721775,0.5,-0.3125,-0.125,-0.125,-0.125,0.7239089,1.0,0.8125,-0.125,0.375,0.53023255,-0.125,-0.125,-0.125,1.110223e-16,-0.125,0.032258064,-0.125,0.875,-0.625,-0.125,-0.125,-0.29032257,0.5,-0.125,-0.125,-0.125,-0.125,-0.625,-0.125,0.09677419,-0.125,0.032258064,-0.125,-0.375,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,0.375,0.375,0.1875,-0.9375,0.77721775,-0.3125,-0.125,-0.125,0.7096774,0.625,-0.22580644,0.875,0.875,0.875,0.5,0.875,0.875,0.875,0.625,0.5
cell_4776,-0.8125,-0.8125,-0.8125,-1.0,-0.375,-0.375,-0.375,-0.625,-0.625,-0.625,-0.625,-0.625,-0.625,-0.625,-0.375,-0.7586207,-0.8125,-0.8125,-1.0,-1.0,0.25,0.48387095,0.48387095,0.15602838,0.3809524,-0.125,0.75127333,0.5625,-0.1061828,-0.125,0.25,0.13932899,-0.125,-0.625,0.25,-0.875,-0.25,0.24715447,-0.125,-0.125,-0.3983871,-0.9375,0.5625,-0.5601626,-0.125,0.5625,0.24715447,-0.3125,0.06451613,0.5625,-0.3125,-0.125,-0.125,-0.125,0.19354838,1.0,-0.5,-0.125,0.4375,-0.033333335,-0.125,-0.125,-0.125,0.032258064,-0.125,0.032258064,-0.125,0.25,-0.5625,-0.125,-0.125,-0.29032257,0.5625,-0.125,-0.125,-0.125,-0.125,-0.5625,-0.125,0.16733871,-0.125,0.032258064,-0.125,-0.375,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,0.4375,0.4375,0.1875,-0.875,0.06451613,-0.3125,-0.125,-0.125,0.41935483,0.6875,-0.22580644,0.25,0.25,0.25,0.5625,0.25,0.25,0.25,0.6875,0.5625
cell_667,-0.9375,-0.9375,-0.9375,0.625,-0.4375,-0.4375,-0.4375,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.4375,-0.47714514,-0.9375,-0.9375,0.625,0.625,0.125,0.3548387,0.3548387,1.3877788e-16,0.2,-0.1875,0.40129033,0.4375,-0.40188172,-0.1875,0.125,-0.18815592,-0.1875,-0.75,0.125,0.8125,-0.3125,0.1,-0.1875,-0.1875,-0.48511165,0.6875,0.4375,-0.66862744,-0.1875,0.4375,0.1,-0.375,-0.032258064,0.4375,-0.375,-0.1875,-0.1875,-0.1875,0.09677419,1.0,-0.5625,-0.1875,0.3125,-0.13333334,-0.1875,-0.1875,-0.1875,-0.06451613,-0.1875,0.796595,-0.1875,0.125,-0.6875,-0.1875,-0.1875,-0.3548387,0.4375,-0.1875,-0.1875,-0.1875,-0.1875,-0.6875,-0.1875,0.032258064,-0.1875,0.796595,-0.1875,-0.4375,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,0.3125,0.3125,0.9375,0.8125,-0.032258064,-0.375,-0.1875,-0.1875,0.29032257,0.5625,-0.29032257,0.125,0.125,0.125,0.4375,0.125,0.125,0.125,0.5625,0.4375
cell_4867,0.9375,0.9375,0.9375,0.6875,-0.375,-0.375,-0.375,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.375,0.41820368,0.9375,0.9375,0.6875,0.6875,0.1875,0.41935483,0.41935483,0.0883721,0.30322582,-0.125,-0.32111436,0.5,0.8064516,-0.125,0.1875,-0.5718391,-0.125,-0.6875,0.1875,-0.875,-0.25,0.16756757,-0.125,-0.125,-0.47653958,-0.9375,0.5,-0.6333333,-0.125,0.5,0.16756757,-0.3125,0.032258064,0.5,-0.3125,-0.125,-0.125,-0.125,0.12903225,1.0,-0.5,-0.125,0.375,-0.06666667,-0.125,-0.125,-0.125,1.110223e-16,-0.125,3.330669e-16,-0.125,0.1875,-0.625,-0.125,-0.125,-0.29032257,0.5,-0.125,-0.125,-0.125,-0.125,-0.625,-0.125,0.09677419,-0.125,3.330669e-16,-0.125,-0.375,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,0.375,0.375,0.125,-0.875,0.032258064,-0.3125,-0.125,-0.125,0.3548387,0.625,-0.22580644,0.1875,0.1875,0.1875,0.5,0.1875,0.1875,0.1875,0.625,0.5
cell_490,-0.875,-0.875,-0.875,-1.0,-0.4375,-0.4375,-0.4375,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.4375,-0.79310346,-0.875,-0.875,-1.0,-1.0,0.125,0.3548387,0.3548387,0.033333335,0.16666667,-0.25,-0.3983871,0.4375,-0.33520338,-0.25,0.125,-0.6034483,-0.25,-0.6875,0.125,0.8125,-0.3125,0.1,-0.25,-0.25,-0.4516129,-0.9375,0.4375,-0.55714285,-0.25,0.4375,0.1,-0.375,-0.06451613,0.4375,-0.375,-0.25,-0.25,-0.25,0.06451613,1.0,-0.5,-0.25,0.3125,-0.1,-0.25,-0.25,-0.25,-0.06451613,-0.25,-0.09677419,-0.25,0.125,-0.625,-0.25,-0.25,0.75127333,0.4375,-0.25,-0.25,-0.25,-0.25,-0.625,-0.25,2.220446e-16,-0.25,-0.09677419,-0.25,-0.4375,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0.3125,0.3125,0.0625,0.8125,-0.06451613,-0.375,-0.25,-0.25,0.29032257,0.5625,-0.32258064,0.125,0.125,0.125,0.4375,0.125,0.125,0.125,0.5625,0.4375
cell_631,0.875,0.875,0.875,0.5625,-0.5625,-0.5625,-0.5625,-0.875,-0.875,-0.875,-0.875,-0.875,-0.875,-0.875,-0.5625,0.04347826,0.875,0.875,0.5625,0.5625,0.0,0.35685483,0.35685483,-0.23423423,0.033333335,-0.375,0.77073735,0.3125,0.67741936,-0.375,0.0,0.48788443,-0.375,-0.875,0.0,0.6875,0.9375,-0.033333335,-0.375,-0.375,-0.61290324,-1.0,0.3125,-0.033333335,-0.375,0.3125,-0.033333335,-0.5,-0.2715054,0.3125,-0.5,-0.375,-0.375,-0.375,-0.06451613,1.0,-0.6875,-0.375,0.1875,-0.35384616,-0.375,-0.375,-0.375,-0.25672042,-0.375,-0.2715054,-0.375,0.0,-0.8125,-0.375,-0.375,-0.516129,0.3125,-0.375,-0.375,-0.375,-0.375,-0.8125,-0.375,-0.12903225,-0.375,-0.2715054,-0.375,-0.5625,-0.375,-0.375,-0.375,-0.375,-0.375,-0.375,-0.375,-0.375,0.1875,0.1875,-0.0625,0.6875,-0.2715054,-0.5,-0.375,-0.375,0.20698924,0.4375,-0.4516129,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.4375,0.3125
cell_3562,-0.875,-0.875,-0.875,0.6875,-0.3125,-0.3125,-0.3125,-0.625,-0.625,-0.625,-0.625,-0.625,-0.625,-0.625,-0.3125,-0.2948718,-0.875,-0.875,0.6875,0.6875,1.0,0.8064516,0.8064516,0.62539685,0.7811321,-0.0625,0.4814516,0.4375,-0.33520338,-0.0625,1.0,-0.077586204,-0.0625,-0.625,1.0,-0.9375,-0.1875,0.68135595,-0.0625,-0.0625,-0.49283153,-1.0,0.4375,-0.6076923,-0.0625,0.4375,0.68135595,-0.25,0.9705882,0.4375,-0.25,-0.0625,-0.0625,-0.0625,0.8684211,0.875,-0.375,-0.0625,0.3125,-0.033333335,-0.0625,-0.0625,-0.0625,2.220446e-16,-0.0625,0.77073735,-0.0625,1.0,-0.5625,-0.0625,-0.0625,0.9042339,0.4375,-0.0625,-0.0625,-0.0625,-0.0625,-0.5625,-0.0625,0.12580645,-0.0625,0.77073735,-0.0625,-0.3125,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,0.3125,0.3125,0.8125,-0.9375,0.9705882,-0.25,-0.0625,-0.0625,0.7419355,0.5625,-0.16129032,1.0,1.0,1.0,0.4375,1.0,1.0,1.0,0.5625,0.4375
cell_610,-0.75,-0.75,-0.75,-0.9375,-0.3125,-0.3125,-0.3125,0.875,0.875,0.875,0.875,0.875,0.875,0.875,-0.3125,-0.2210728,-0.75,-0.75,-0.9375,-0.9375,0.3125,0.48387095,0.48387095,0.17777778,0.43636364,-0.0625,-0.12903225,0.5,-0.109970674,-0.0625,0.3125,0.28549695,-0.0625,0.875,0.3125,-0.8125,-0.1875,0.2871795,-0.0625,-0.0625,-0.5629032,-0.875,0.5,0.4019608,-0.0625,0.5,0.2871795,-0.25,0.20698924,0.5,-0.25,-0.0625,-0.0625,-0.0625,0.2580645,0.75,-0.4375,-0.0625,0.8125,0.4585366,-0.0625,-0.0625,-0.0625,0.5564516,-0.0625,0.12580645,-0.0625,0.3125,-0.625,-0.0625,-0.0625,-0.2715054,0.5,-0.0625,-0.0625,-0.0625,-0.0625,-0.625,-0.0625,0.9705882,-0.0625,0.12580645,-0.0625,-0.3125,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,0.8125,0.8125,0.25,-0.8125,0.20698924,-0.25,-0.0625,-0.0625,0.41935483,0.625,-0.16129032,0.3125,0.3125,0.3125,0.5,0.3125,0.3125,0.3125,0.625,0.5
cell_3763,-0.875,-0.875,-0.875,-1.0,0.75,0.75,0.75,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,0.75,-0.5537135,-0.875,-0.875,-1.0,-1.0,0.0,0.35685483,0.35685483,-0.06666667,0.1,-0.25,-0.5629032,0.3125,-0.51152074,-0.25,0.0,-0.67298853,-0.25,-0.6875,0.0,-0.9375,-0.375,1.110223e-16,-0.25,-0.25,0.75127333,0.5625,0.3125,0.23114754,-0.25,0.3125,1.110223e-16,-0.4375,-0.12903225,0.3125,-0.4375,-0.25,-0.25,-0.25,-0.06451613,1.0,-0.5625,-0.25,0.1875,-0.2,-0.25,-0.25,-0.25,0.5231855,-0.25,-0.16129032,-0.25,0.0,0.9375,-0.25,-0.25,-0.38709676,0.3125,-0.25,-0.25,-0.25,-0.25,0.9375,-0.25,-0.06451613,-0.25,-0.16129032,-0.25,0.75,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0.1875,0.1875,-0.0625,-0.9375,-0.12903225,-0.4375,-0.25,-0.25,0.20698924,0.4375,-0.3548387,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.4375,0.3125
cell_2053,-0.75,-0.75,-0.75,-0.9375,-0.3125,-0.3125,-0.3125,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,-0.3125,-0.4142036,-0.75,-0.75,-0.9375,-0.9375,0.1875,0.38709676,0.38709676,0.1,0.68135595,1.0,-0.16129032,0.4375,-0.1920123,1.0,0.1875,-0.37406296,1.0,0.6875,0.1875,-0.8125,-0.25,0.5679245,1.0,1.0,0.6330645,-0.875,0.4375,0.24871795,1.0,0.4375,0.5679245,0.8125,0.825,0.4375,0.8125,1.0,1.0,1.0,0.12903225,0.875,-0.375,1.0,0.3125,0.6,1.0,1.0,1.0,2.220446e-16,1.0,0.8684211,1.0,0.1875,-0.5,1.0,1.0,0.9032258,0.4375,1.0,1.0,1.0,1.0,-0.5,1.0,1.0,1.0,0.8684211,1.0,-0.3125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3125,0.3125,0.125,-0.8125,0.825,0.8125,1.0,1.0,0.32258064,0.5625,0.9354839,0.1875,0.1875,0.1875,0.4375,0.1875,0.1875,0.1875,0.5625,0.4375
cell_1801,0.8125,0.8125,0.8125,0.5625,-0.5,-0.5,-0.5,-0.8125,-0.8125,-0.8125,-0.8125,-0.8125,-0.8125,-0.8125,-0.5,0.1042502,0.8125,0.8125,0.5625,0.5625,0.0625,0.33387098,0.33387098,-0.033333335,0.1,-0.3125,-0.5629032,0.375,0.67741936,-0.3125,0.0625,-0.7429957,-0.3125,-0.8125,0.0625,0.875,-0.375,0.033333335,-0.3125,-0.3125,-0.5483871,0.625,0.375,-0.68079096,-0.3125,0.375,0.033333335,-0.4375,-0.12903225,0.375,-0.4375,-0.3125,-0.3125,-0.3125,4.440892e-16,1.0,-0.5625,-0.3125,0.25,-0.17619048,-0.3125,-0.3125,-0.3125,-0.12903225,-0.3125,-0.19032258,-0.3125,0.0625,-0.75,-0.3125,-0.3125,0.71048385,0.375,-0.3125,-0.3125,-0.3125,-0.3125,-0.75,-0.3125,-0.06451613,-0.3125,-0.19032258,-0.3125,-0.5,-0.3125,-0.3125,-0.3125,-0.3125,-0.3125,-0.3125,-0.3125,-0.3125,0.25,0.25,0.0,0.875,-0.12903225,-0.4375,-0.3125,-0.3125,0.22580644,0.5,-0.38709676,0.0625,0.0625,0.0625,0.375,0.0625,0.0625,0.0625,0.5,0.375
cell_613,-0.9375,-0.9375,-0.9375,0.875,-0.5,-0.5,-0.5,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.5,-0.2579023,-0.9375,-0.9375,0.875,0.875,0.0,0.35685483,0.35685483,0.54102564,0.06666667,-0.3125,0.35630497,0.3125,-0.5762463,-0.3125,0.0,0.15592204,-0.3125,-0.75,0.0,0.625,-0.375,1.110223e-16,-0.3125,-0.3125,-0.516129,-1.0,0.3125,-0.6030303,-0.3125,0.3125,1.110223e-16,-0.4375,-0.19032258,0.3125,-0.4375,-0.3125,-0.3125,-0.3125,-0.032258064,0.9375,0.6875,-0.3125,0.1875,0.25641027,-0.3125,-0.3125,-0.3125,-0.16568916,-0.3125,0.5564516,-0.3125,0.0,-0.6875,-0.3125,-0.3125,0.78571427,0.3125,-0.3125,-0.3125,-0.3125,-0.3125,-0.6875,-0.3125,-0.09677419,-0.3125,0.5564516,-0.3125,-0.5,-0.3125,-0.3125,-0.3125,-0.3125,-0.3125,-0.3125,-0.3125,-0.3125,0.1875,0.1875,0.8125,0.625,-0.19032258,-0.4375,-0.3125,-0.3125,0.20698924,0.4375,-0.38709676,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.4375,0.3125
cell_445,-0.8125,-0.8125,-0.8125,-0.9375,-0.375,-0.375,-0.375,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,-0.375,-0.32796103,-0.8125,-0.8125,-0.9375,-0.9375,0.1875,0.41935483,0.41935483,0.0883721,0.71857923,1.0,-0.32111436,0.5,-0.18373072,1.0,0.1875,0.19219066,1.0,0.8125,0.1875,-0.875,-0.25,0.16756757,1.0,1.0,0.9032258,0.6875,0.5,0.93333334,1.0,0.5,0.16756757,-0.3125,0.825,0.5,-0.3125,1.0,1.0,1.0,0.12903225,0.875,-0.5,1.0,0.375,0.5409836,1.0,1.0,1.0,1.110223e-16,1.0,0.8684211,1.0,0.1875,0.75,1.0,1.0,0.7173913,0.5,1.0,1.0,1.0,1.0,0.75,1.0,0.75,1.0,0.8684211,1.0,-0.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.375,0.375,0.125,-0.875,0.825,-0.3125,1.0,1.0,0.3548387,0.625,0.78571427,0.1875,0.1875,0.1875,0.5,0.1875,0.1875,0.1875,0.625,0.5
cell_2193,0.75,0.75,0.75,0.9375,-0.5,-0.5,-0.5,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,-0.5,0.7434905,0.75,0.75,0.9375,0.9375,0.125,0.3548387,0.3548387,0.63899374,0.16666667,-0.25,-0.47653958,0.4375,0.67741936,-0.25,0.125,-0.09392015,-0.25,0.8125,0.125,-1.0,-0.375,0.06666667,-0.25,-0.25,-0.516129,0.6875,0.4375,-0.6727273,-0.25,0.4375,0.06666667,-0.4375,-0.06451613,0.4375,-0.4375,-0.25,-0.25,-0.25,0.06451613,1.0,0.875,-0.25,0.3125,0.48368794,-0.25,-0.25,-0.25,-0.09677419,-0.25,-0.09677419,-0.25,0.125,-0.75,-0.25,-0.25,-0.41935483,0.4375,-0.25,-0.25,-0.25,-0.25,-0.75,-0.25,2.220446e-16,-0.25,-0.09677419,-0.25,-0.5,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0.3125,0.3125,0.0625,-1.0,-0.06451613,-0.4375,-0.25,-0.25,0.29032257,0.5625,-0.3548387,0.125,0.125,0.125,0.4375,0.125,0.125,0.125,0.5625,0.4375
cell_2056,-0.8125,-0.8125,-0.8125,0.625,-0.4375,-0.4375,-0.4375,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.4375,-0.39267242,-0.8125,-0.8125,0.625,0.625,0.125,0.3548387,0.3548387,1.3877788e-16,0.16666667,-0.25,0.6347926,0.4375,-0.26539588,-0.25,0.125,0.59891105,-0.25,-0.6875,0.125,-0.875,-0.375,0.63899374,-0.25,-0.25,-0.4516129,-0.9375,0.4375,0.37719297,-0.25,0.4375,0.63899374,0.875,-0.06451613,0.4375,0.875,-0.25,-0.25,-0.25,0.06451613,1.0,-0.5625,-0.25,0.3125,-0.13333334,-0.25,-0.25,-0.25,-0.06451613,-0.25,-0.09677419,-0.25,0.125,-0.625,-0.25,-0.25,-0.38709676,0.4375,-0.25,-0.25,-0.25,-0.25,-0.625,-0.25,2.220446e-16,-0.25,-0.09677419,-0.25,-0.4375,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0.3125,0.3125,0.0625,-0.875,-0.06451613,0.875,-0.25,-0.25,0.29032257,0.5625,0.67652327,0.125,0.125,0.125,0.4375,0.125,0.125,0.125,0.5625,0.4375
cell_1824,-0.875,-0.875,-0.875,0.5,-0.5,-0.5,-0.5,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.5,-0.51682085,-0.875,-0.875,0.5,0.5,0.0,0.28341013,0.28341013,-0.17575757,0.033333335,-0.3125,0.87096775,0.25,-0.54596776,-0.3125,0.0,0.15448275,-0.3125,-0.75,0.0,-0.9375,-0.4375,0.54102564,-0.3125,-0.3125,-0.516129,-1.0,0.25,-0.6030303,-0.3125,0.25,0.54102564,0.75,-0.19032258,0.25,0.75,-0.3125,-0.3125,-0.3125,-0.032258064,0.9375,-0.625,-0.3125,0.125,-0.3151515,-0.3125,-0.3125,-0.3125,-0.23387097,-0.3125,0.78571427,-0.3125,0.0,-0.6875,-0.3125,-0.3125,-0.4516129,0.25,-0.3125,-0.3125,-0.3125,-0.3125,-0.6875,-0.3125,0.5564516,-0.3125,0.78571427,-0.3125,-0.5,-0.3125,-0.3125,-0.3125,-0.3125,-0.3125,-0.3125,-0.3125,-0.3125,0.125,0.125,1.0,-0.9375,-0.19032258,0.75,-0.3125,-0.3125,0.12903225,0.375,0.4772296,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.375,0.25
cell_5912,-0.9375,-0.9375,-0.9375,0.5625,-0.4375,-0.4375,-0.4375,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.4375,-0.49794745,-0.9375,-0.9375,0.5625,0.5625,0.0625,0.33387098,0.33387098,5.551115e-17,0.6387755,0.875,0.48521507,0.375,-0.486676,0.875,0.0625,-0.12304075,0.875,-0.75,0.0625,0.75,-0.3125,0.06666667,0.875,0.875,0.2567742,0.625,0.375,-0.16,0.875,0.375,0.06666667,-0.375,0.77721775,0.375,-0.375,0.875,0.875,0.875,0.032258064,1.0,-0.5,0.875,0.25,0.41383648,0.875,0.875,0.875,-0.09677419,0.875,0.9354839,0.875,0.0625,-0.6875,0.875,0.875,0.87096775,0.375,0.875,0.875,0.875,0.875,-0.6875,0.875,0.67652327,0.875,0.9354839,0.875,-0.4375,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.25,0.25,0.9375,0.75,0.77721775,-0.375,0.875,0.875,0.22580644,0.5,0.59596777,0.0625,0.0625,0.0625,0.375,0.0625,0.0625,0.0625,0.5,0.375
cell_514,-0.875,-0.875,-0.875,-1.0,-0.375,-0.375,-0.375,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.375,-0.81146926,-0.875,-0.875,-1.0,-1.0,0.25,0.4516129,0.4516129,0.1,0.34242424,-0.125,-0.25672042,0.5,-0.25403225,-0.125,0.25,0.06217346,-0.125,-0.75,0.25,0.9375,-0.25,0.2025641,-0.125,-0.125,-0.55241936,-0.9375,0.5,0.18431373,-0.125,0.5,0.2025641,-0.3125,0.06451613,0.5,-0.3125,-0.125,-0.125,-0.125,0.19354838,1.0,-0.5,-0.125,0.375,-0.06666667,-0.125,-0.125,-0.125,1.110223e-16,-0.125,0.032258064,-0.125,0.25,-0.6875,-0.125,-0.125,-0.29032257,0.5,-0.125,-0.125,-0.125,-0.125,-0.6875,-0.125,0.77721775,-0.125,0.032258064,-0.125,-0.375,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,0.375,0.375,0.1875,0.9375,0.06451613,-0.3125,-0.125,-0.125,0.38709676,0.625,-0.22580644,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.625,0.5
cell_5842,0.9375,0.9375,0.9375,0.6875,-0.375,-0.375,-0.375,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.375,0.41820368,0.9375,0.9375,0.6875,0.6875,0.1875,0.41935483,0.41935483,0.0883721,0.30322582,-0.125,-0.32111436,0.5,0.8064516,-0.125,0.1875,-0.5718391,-0.125,-0.6875,0.1875,-0.875,-0.25,0.16756757,-0.125,-0.125,-0.47653958,-0.9375,0.5,-0.6333333,-0.125,0.5,0.16756757,-0.3125,0.032258064,0.5,-0.3125,-0.125,-0.125,-0.125,0.12903225,1.0,-0.5,-0.125,0.375,-0.06666667,-0.125,-0.125,-0.125,1.110223e-16,-0.125,3.330669e-16,-0.125,0.1875,-0.625,-0.125,-0.125,-0.29032257,0.5,-0.125,-0.125,-0.125,-0.125,-0.625,-0.125,0.09677419,-0.125,3.330669e-16,-0.125,-0.375,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,0.375,0.375,0.125,-0.875,0.032258064,-0.3125,-0.125,-0.125,0.3548387,0.625,-0.22580644,0.1875,0.1875,0.1875,0.5,0.1875,0.1875,0.1875,0.625,0.5
cell_2274,0.6875,0.6875,0.6875,0.5625,-0.5625,-0.5625,-0.5625,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,-0.5625,0.5264635,0.6875,0.6875,0.5625,0.5625,0.0,0.35685483,0.35685483,0.64444447,0.033333335,-0.375,-0.6319648,0.3125,0.58064514,-0.375,0.0,0.50317603,-0.375,0.8125,0.0,-0.9375,-0.5,0.6787234,-0.375,-0.375,-0.61290324,-1.0,0.3125,-0.033333335,-0.375,0.3125,0.6787234,0.9375,-0.2715054,0.3125,0.9375,-0.375,-0.375,-0.375,-0.06451613,1.0,0.875,-0.375,0.1875,0.48368794,-0.375,-0.375,-0.375,-0.25672042,-0.375,-0.2715054,-0.375,0.0,-0.8125,-0.375,-0.375,-0.516129,0.3125,-0.375,-0.375,-0.375,-0.375,-0.8125,-0.375,-0.12903225,-0.375,-0.2715054,-0.375,-0.5625,-0.375,-0.375,-0.375,-0.375,-0.375,-0.375,-0.375,-0.375,0.1875,0.1875,-0.0625,-0.9375,-0.2715054,0.9375,-0.375,-0.375,0.20698924,0.4375,0.6735791,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.4375,0.3125
cell_5995,0.75,0.75,0.75,0.875,-0.4375,-0.4375,-0.4375,-0.8125,-0.8125,-0.8125,-0.8125,-0.8125,-0.8125,-0.8125,-0.4375,0.3152174,0.75,0.75,0.875,0.875,0.1875,0.41935483,0.41935483,0.06666667,0.24848485,-0.1875,-0.4045699,0.5,0.7096774,-0.1875,0.1875,-0.68509126,-0.1875,-0.8125,0.1875,-1.0,-0.3125,0.13846155,-0.1875,-0.1875,-0.563364,0.8125,0.5,-0.74242425,-0.1875,0.5,0.13846155,-0.375,3.330669e-16,0.5,-0.375,-0.1875,-0.1875,-0.1875,0.12903225,1.0,-0.5625,-0.1875,0.375,-0.1,-0.1875,-0.1875,-0.1875,-0.032258064,-0.1875,-0.032258064,-0.1875,0.1875,-0.75,-0.1875,-0.1875,-0.3548387,0.5,-0.1875,-0.1875,-0.1875,-0.1875,-0.75,-0.1875,0.06451613,-0.1875,-0.032258064,-0.1875,-0.4375,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,0.375,0.375,0.125,-1.0,3.330669e-16,-0.375,-0.1875,-0.1875,0.3548387,0.625,-0.29032257,0.1875,0.1875,0.1875,0.5,0.1875,0.1875,0.1875,0.625,0.5
